"Date","Price","Open","High","Low","Change %"
"Mar 12, 2021","57,338.5","57,679.3","57,679.3","55,913.7","-0.59%"
"Mar 11, 2021","57,679.3","55,840.7","57,718.0","54,546.6","3.29%"
"Mar 10, 2021","55,840.7","54,872.4","56,878.0","53,438.8","1.76%"
"Mar 09, 2021","54,872.4","52,302.7","54,872.4","52,198.5","4.97%"
"Mar 08, 2021","52,273.2","50,976.5","52,273.2","49,555.1","2.54%"
"Mar 07, 2021","50,976.5","48,924.6","51,150.0","48,924.6","4.19%"
"Mar 06, 2021","48,924.6","48,700.0","48,924.6","47,500.0","0.46%"
"Mar 05, 2021","48,700.0","48,380.9","48,931.8","46,500.0","0.66%"
"Mar 04, 2021","48,380.9","50,363.2","51,526.9","48,127.5","-3.94%"
"Mar 03, 2021","50,363.2","48,414.1","52,272.9","48,122.9","4.03%"
"Mar 02, 2021","48,414.1","49,583.2","49,583.2","47,367.9","-2.36%"
"Mar 01, 2021","49,583.2","45,149.4","49,583.2","45,149.4","9.82%"
"Feb 28, 2021","45,149.4","46,141.9","46,271.8","43,392.0","-2.15%"
"Feb 27, 2021","46,141.9","46,354.0","47,685.8","46,141.9","-0.46%"
"Feb 26, 2021","46,354.0","47,070.8","47,900.0","46,075.0","-1.52%"
"Feb 25, 2021","47,070.8","49,613.7","50,993.8","47,070.8","-5.13%"
"Feb 24, 2021","49,613.7","48,909.3","50,753.0","48,000.6","1.44%"
"Feb 23, 2021","48,909.3","54,058.4","54,058.4","47,452.8","-9.53%"
"Feb 22, 2021","54,058.4","57,381.7","57,381.7","51,923.9","-5.79%"
"Feb 21, 2021","57,381.7","55,868.8","57,672.9","55,868.8","2.69%"
"Feb 20, 2021","55,879.3","55,875.4","57,121.1","55,512.3","0.01%"
"Feb 19, 2021","55,875.4","51,581.0","55,875.4","51,309.2","8.33%"
"Feb 18, 2021","51,581.0","52,058.4","52,204.1","51,511.7","-0.92%"
"Feb 17, 2021","52,058.4","49,919.9","52,307.5","49,919.9","6.89%"
"Feb 16, 2021","48,701.8","47,915.6","49,600.0","47,915.6","1.64%"
"Feb 15, 2021","47,915.6","48,631.0","48,631.0","46,875.8","-1.47%"
"Feb 14, 2021","48,631.1","47,149.6","49,167.3","47,149.6","3.14%"
"Feb 13, 2021","47,149.6","47,335.1","47,726.0","46,726.0","-0.39%"
"Feb 12, 2021","47,335.1","47,942.7","48,395.3","47,016.6","-1.27%"
"Feb 11, 2021","47,942.7","44,824.7","47,966.6","44,379.8","6.96%"
"Feb 10, 2021","44,824.7","46,518.4","46,778.4","44,717.1","-3.64%"
"Feb 09, 2021","46,518.4","46,317.6","47,779.7","45,917.3","0.43%"
"Feb 08, 2021","46,317.6","38,790.4","46,317.6","38,181.5","19.38%"
"Feb 07, 2021","38,800.0","39,233.0","39,347.9","38,059.5","-1.10%"
"Feb 06, 2021","39,233.0","38,267.5","40,511.1","38,267.5","2.52%"
"Feb 05, 2021","38,267.5","36,945.6","38,267.5","36,775.7","3.58%"
"Feb 04, 2021","36,946.2","37,597.4","37,984.1","36,727.1","-1.73%"
"Feb 03, 2021","37,597.4","35,480.7","37,597.4","35,480.7","5.97%"
"Feb 02, 2021","35,480.7","33,568.8","35,712.8","33,568.8","5.70%"
"Feb 01, 2021","33,568.8","33,115.1","34,134.2","32,601.8","1.37%"
"Jan 31, 2021","33,115.1","34,230.1","34,230.1","32,606.5","-3.26%"
"Jan 30, 2021","34,230.1","34,255.5","34,347.5","33,444.6","0.01%"
"Jan 29, 2021","34,228.1","33,354.4","37,800.0","32,576.7","2.62%"
"Jan 28, 2021","33,354.4","30,350.0","33,354.4","30,350.0","9.90%"
"Jan 27, 2021","30,350.0","32,511.9","32,511.9","29,717.3","-6.65%"
"Jan 26, 2021","32,511.9","32,271.3","32,534.6","31,355.4","0.75%"
"Jan 25, 2021","32,271.3","32,238.8","34,644.6","32,238.8","0.10%"
"Jan 24, 2021","32,238.8","32,072.8","32,832.7","31,661.4","0.52%"
"Jan 23, 2021","32,072.8","32,941.8","32,941.8","31,856.1","-2.70%"
"Jan 22, 2021","32,961.3","30,822.3","33,627.6","30,351.7","6.94%"
"Jan 21, 2021","30,822.3","35,463.3","35,463.3","30,822.3","-13.09%"
